epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1313,3.38864,5.05431,4.60472,0,0,0,0,0,165.488,0,1e-05,1e-05,1e-05
2,20.0086,3.23994,5.30544,4.60603,0,0,0,0,0,165.573,0,2.9406e-05,2.9406e-05,2.9406e-05
3,30.1618,3.46861,5.03669,4.66142,0,0,0,0,0,165.645,0,4.802e-05,4.802e-05,4.802e-05
4,40.5067,3.44645,5.36077,4.58467,0,0,0,0,0,165.706,0,6.5842e-05,6.5842e-05,6.5842e-05
5,50.3066,3.28393,4.91998,4.55168,0,0,0,0,0,165.877,0,8.2872e-05,8.2872e-05,8.2872e-05
6,60.3879,3.36269,4.87504,4.4713,0,0,0,0,0,165.967,0,9.911e-05,9.911e-05,9.911e-05
7,70.7089,3.3712,4.96623,4.43492,0,0,0,0,0,166.114,0,0.000114556,0.000114556,0.000114556
8,81.7108,3.10484,4.74841,4.37841,0,0,0,0,0,166.047,0,0.00012921,0.00012921,0.00012921
9,92.3684,2.93289,4.69026,4.46564,0,0,0,0,0,165.993,0,0.000143072,0.000143072,0.000143072
10,102.85,3.5218,4.7474,4.29836,0,0,0,0,0,166.116,0,0.000156142,0.000156142,0.000156142
11,113.554,3.54957,4.77213,4.3291,0,0,0,0,0,166.108,0,0.00016842,0.00016842,0.00016842
12,124.378,3.2806,4.76308,4.38958,0,0,0,0,0,166.061,0,0.000179906,0.000179906,0.000179906
13,135.404,3.30154,4.73281,4.33217,0,0,0,0,0,165.921,0,0.0001906,0.0001906,0.0001906
14,146.326,3.29436,4.85727,4.27903,0,0,0,0,0,165.682,0,0.000200502,0.000200502,0.000200502
15,157.45,3.39681,4.77415,4.25587,0,0,0,0,0,165.507,0,0.000209612,0.000209612,0.000209612
16,169.644,3.09207,4.83487,4.31131,0,0,0,0,0,165.176,0,0.00021793,0.00021793,0.00021793
17,180.89,3.36476,4.64742,4.20648,0,0,0,0,0,164.866,0,0.000225456,0.000225456,0.000225456
18,192.384,3.56103,4.67853,4.23127,0,0,0,0,0,164.437,0,0.00023219,0.00023219,0.00023219
19,203.398,3.11904,4.63322,4.20302,0,0,0,0,0,163.914,0,0.000238132,0.000238132,0.000238132
20,215.456,3.19907,4.61026,4.1933,0,0,0,0,0,163.289,0,0.000243282,0.000243282,0.000243282
21,227.272,3.22449,4.59057,4.17334,0,0,0,0,0,162.69,0,0.00024764,0.00024764,0.00024764
22,239.709,3.07482,4.58192,4.13665,0,0,0,0,0,161.966,0,0.000251206,0.000251206,0.000251206
23,252.544,3.27768,4.77012,4.18726,0,0,0,0,0,161.026,0,0.00025398,0.00025398,0.00025398
24,264.175,3.27707,4.57844,4.14591,0,0,0,0,0,160.105,0,0.000255962,0.000255962,0.000255962
25,276.037,3.06181,4.54904,4.10476,0,0,0,0,0,158.905,0,0.000257152,0.000257152,0.000257152
26,287.088,3.16976,4.38546,4.09617,0,0,0,0,0,157.666,0,0.00025755,0.00025755,0.00025755
27,308.163,3.30141,4.46408,4.10266,0,0,0,0,0,156.064,0,0.000257156,0.000257156,0.000257156
28,352.384,3.58743,4.77052,4.12795,0,0,0,0,0,156.064,0,0.00025597,0.00025597,0.00025597
29,393.524,3.12487,4.58226,4.06964,0,0,0,0,0,154.185,0,0.000253992,0.000253992,0.000253992
30,434.326,3.23432,4.34938,4.06301,0,0,0,0,0,152.097,0,0.000251222,0.000251222,0.000251222
31,473.456,3.24509,4.45366,4.00828,0,0,0,0,0,152.097,0,0.00024766,0.00024766,0.00024766
32,513.343,3.39822,4.37054,4.08745,0,0,0,0,0,149.701,0,0.000243306,0.000243306,0.000243306
33,555.413,3.42216,4.45739,3.98486,0,0,0,0,0,147.365,0,0.00023816,0.00023816,0.00023816
34,592.989,3.17555,4.28815,4.01248,0,0,0,0,0,147.365,0,0.000232222,0.000232222,0.000232222
35,625.151,3.25214,4.29398,4.01726,0,0,0,0,0,144.805,0,0.000225492,0.000225492,0.000225492
36,635.282,3.43804,4.54814,3.98472,0,0,0,0,0,142.603,0,0.00021797,0.00021797,0.00021797
37,645.199,3.33922,4.26971,4.04112,0,0,0,0,0,142.603,0,0.000209656,0.000209656,0.000209656
38,655.24,3.0575,4.59574,4.05523,0,0,0,0,0,140.757,0,0.00020055,0.00020055,0.00020055
39,665.409,3.09523,4.23098,4.04081,0,0,0,0,0,139.309,0,0.000190652,0.000190652,0.000190652
40,675.107,3.16495,4.26036,4.03001,0,0,0,0,0,139.309,0,0.000179962,0.000179962,0.000179962
41,685.26,2.79725,4.8757,3.93154,0,0,0,0,0,138.246,0,0.00016848,0.00016848,0.00016848
42,695.447,3.26384,4.9113,3.9677,0,0,0,0,0,137.289,0,0.000156206,0.000156206,0.000156206
43,705.815,2.77736,4.45504,3.93469,0,0,0,0,0,137.289,0,0.00014314,0.00014314,0.00014314
44,715.929,2.67174,4.73573,3.96681,0,0,0,0,0,136.584,0,0.000129282,0.000129282,0.000129282
45,726.489,2.74039,4.4873,3.74525,0,0,0,0,0,136.584,0,0.000114632,0.000114632,0.000114632
46,736.751,2.9236,4.80434,3.87216,0,0,0,0,0,136.215,0,9.919e-05,9.919e-05,9.919e-05
47,747.414,2.64623,4.74511,3.87453,0,0,0,0,0,136.215,0,8.2956e-05,8.2956e-05,8.2956e-05
48,758.08,2.81164,4.60775,3.89844,0,0,0,0,0,136.2,0,6.593e-05,6.593e-05,6.593e-05
49,768.707,2.67863,4.70093,3.78581,0,0,0,0,0,136.2,0,4.8112e-05,4.8112e-05,4.8112e-05
50,779.214,2.84082,4.74486,3.8803,0,0,0,0,0,136.257,0,2.9502e-05,2.9502e-05,2.9502e-05
